"uid1","idx","uid2"
 "GP045","11","LA036"
 "LA036","3","GP285"
 "LA059","2","LA260"
 "LA059","2","LA261"
 "LA303","1","LA302"
 "LA013","6","LA307"
 "GB010","7","BF022"
 "GB011","7","BF022"
 "BA218","2","BA090"
 "BA162","2","BA116"
 "GB207","2","LA259"
 "LS200","1","GB212"
 "LS200","1","BA175"
 "LS201","1","GB212"
 "LS201","1","BA175"
 "BA175","3","BA187"
 "BA177","1","BA178"
 "BA182","1","BA184"
 "BA184","1","BA183"
 "BA187","3","GB212"
 "BA187","3","LS200"
 "BA187","3","LS201"
 "BA188","1","BA189"
 "BA195","1","BA196"
 "BA195","1","BA197"
 "BA196","1","BA197"
 "BF064","7","LS067"
 "BF064","8","BF057"
 "BA207","1","BA208"
 "BA208","1","BA209"
 "BA223","1","BA224"
 "BA225","1","BA226"
 "BA227","1","BA225"
 "BA227","1","BA226"
 "BF057","8","LS067"
 "BF058","8","BF057"
 "BF058","8","BF059"
 "BF059","8","BF061"
 "BF057","8","BF061"
 "BF057","8","AC071"
 "BF062","8","AC071"
 "BF063","8","AC071"
 "BB021","2","BF067"
 "LA064","8","CB039"
 "MW170","2","OB131"
 "BB021","7","AP014"
 "BB022","7","AP014"
 "BB022","2","BF067"
 "GB251","2","OB131"
 "BF068","8","BF069"
 "BF068","8","LC061"
 "BF071","1","BF072"
 "BF079","1","BF080"
 "BF079","1","BF081"
 "BF080","1","BF081"
 "BF074","3","BF086"
 "BF075","3","BF086"
 "BF076","3","BF086"
 "BF076","1","BF077"
 "BF077","3","BF088"
 "BF077","8","BF087"
 "BF074","3","BF088"
 "BF074","8","BF087"
 "PA185","1","PA184"
 "BF076","8","BF087"
 "BF088","7","BF087"
 "BF086","7","BF087"
 "BF087","8","BF075"
 "BF086","1","BF088"
 "BF086","3","BF077"
 "BF088","3","BF075"
 "BF088","3","BF076"
 "BF089","0","BF221"
 "BF086","7","BF221"
 "BF086","2","BF089"
 "BF089","2","BF087"
 "BF087","3","BF221"
 "BF088","2","BF089"
 "BF089","8","BF074"
 "BF089","8","BF075"
 "BF089","8","BF076"
 "BF089","8","BF077"
 "BF088","7","BF221"
 "BF221","8","BF074"
 "BF221","8","BF075"
 "BF221","8","BF076"
 "BF221","8","BF077"
 "BF126","1","BF127"
 "BF126","1","BF128"
 "BF127","1","BF128"
 "BF133","1","BF134"
 "BF137","1","BF138"
 "BF150","1","BF149"
 "BF150","2","BF148"
 "BF149","2","BF148"
 "BF160","1","BF161"
 "BF168","1","BF169"
 "BF168","2","BF167"
 "BF169","2","BF167"
 "BF173","1","BF174"
 "BF184","1","BF185"
 "BF192","1","BF193"
 "BF195","1","BF196"
 "BF210","1","BF211"
 "BF212","1","BF213"
 "BB138","1","BF186"
 "BF218","2","BF215"
 "BF217","2","BF215"
 "BF216","2","BF215"
 "BF214","7","BF215"
 "BF218","1","BF217"
 "BF218","1","BF216"
 "BF214","7","BF218"
 "BF214","7","BF217"
